Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI,P5 Name,P5 RBI
Rob,Pete Alonso(NYM),16,Jose Ramirez(CLE),20,Franmil Reyes(CLE),5,41,Jared Walsh(LAA),6,Eloy Jimenez(CWS),7
Gregg,Manny Machado(SD),10,Nolan Arenado(STL),14,Giancarlo Stanton(NYY),8,32,Bo Bichette(TOR),4,Josh Bell(WSH),12
Chris,Bryce Harper(PHI),11,Freddie Freeman(LAD),7,Paul Goldschmidt(STL),5,23,George Springer(TOR),7,Mookie Betts(LAD),5
Wie,Jose Abreu(CWS),6,Yordan Alvarez(HOU),6,Ozzie Albies(ATL),11,23,Marcell Ozuna(ATL),10,Javier Baez(DET),4
Tom,Vladimir Guerrero(TOR),11,Austin Riley(ATL),7,Kyle Tucker(HOU),4,22,Eugenio Suarez(SEA),10,Tyler O'Neill(STL),7
Randy,Rafael Devers(BOS),8,Xander Bogaerts(BOS),6,Rhys Hoskins(PHI),4,18,Alex Bregman(HOU),11,Matt Chapman(TOR),9
Zee,Juan Soto(WSH),3,Mike Trout(LAA),5,Shohei Ohtani(LAA),9,17,Trea Turner(LAD),12,Luis Robert(CWS),3
Efran,Teoscar Hernandez(TOR),3,Nick Castellanos(PHI),9,Aaron Judge(NYY),5,17,Jorge Polanco(MIN),8,Jesus Aguilar(MIA),4
Brett,Salvador Perez(KC),7,Adam Duvall(ATL),7,Joey Votto(CIN),2,16,Mitch Haniger(SEA),7,Austin Meadows(DET),8
Kevin,Matt Olson(ATL),4,J.D. Martinez(BOS),7,Joey Gallo(NYY),0,11,Carlos Correa(MIN),3,Max Muncy(LAD),7
