Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI,P5 Name,P5 RBI
Gregg,Manny Machado(SD),46,Nolan Arenado(STL),48,Giancarlo Stanton(NYY),46,140,Bo Bichette(TOR),39,Josh Bell(WSH),45
Randy,Rafael Devers(BOS),44,Xander Bogaerts(BOS),31,Rhys Hoskins(PHI),37,112,Alex Bregman(HOU),35,Matt Chapman(TOR),31
Tom,Vladimir Guerrero(TOR),43,Austin Riley(ATL),42,Kyle Tucker(HOU),48,133,Eugenio Suarez(SEA),37,Tyler O'Neill(STL),28
Chris,Bryce Harper(PHI),48,Freddie Freeman(LAD),45,Paul Goldschmidt(STL),61,154,George Springer(TOR),34,Mookie Betts(LAD),40
Brett,Salvador Perez(KC),34,Adam Duvall(ATL),27,Joey Votto(CIN),22,83,Mitch Haniger(SEA),7,Austin Meadows(DET),11
Wie,Jose Abreu(CWS),32,Yordan Alvarez(HOU),54,Ozzie Albies(ATL),33,119,Marcell Ozuna(ATL),31,Javier Baez(DET),25
Zee,Juan Soto(WSH),31,Mike Trout(LAA),45,Shohei Ohtani(LAA),47,123,Trea Turner(LAD),52,Luis Robert(CWS),36
Efran,Teoscar Hernandez(TOR),28,Nick Castellanos(PHI),36,Aaron Judge(NYY),53,117,Jorge Polanco(MIN),33,Jesus Aguilar(MIA),31
Rob,Pete Alonso(NYM),68,Jose Ramirez(CLE),63,Franmil Reyes(CLE),14,145,Jared Walsh(LAA),40,Eloy Jimenez(CWS),7
Kevin,Matt Olson(ATL),39,J.D. Martinez(BOS),30,Joey Gallo(NYY),18,87,Carlos Correa(MIN),23,Max Muncy(LAD),20
