Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI,P5 Name,P5 RBI
Gregg,Manny Machado(SD),46,Nolan Arenado(STL),45,Giancarlo Stanton(NYY),42,133,Bo Bichette(TOR),33,Josh Bell(WSH),44
Randy,Rafael Devers(BOS),42,Xander Bogaerts(BOS),31,Rhys Hoskins(PHI),37,110,Alex Bregman(HOU),30,Matt Chapman(TOR),27
Tom,Vladimir Guerrero(TOR),39,Austin Riley(ATL),40,Kyle Tucker(HOU),41,120,Eugenio Suarez(SEA),35,Tyler O'Neill(STL),28
Chris,Bryce Harper(PHI),48,Freddie Freeman(LAD),34,Paul Goldschmidt(STL),58,140,George Springer(TOR),33,Mookie Betts(LAD),40
Brett,Salvador Perez(KC),32,Adam Duvall(ATL),26,Joey Votto(CIN),22,80,Mitch Haniger(SEA),7,Austin Meadows(DET),11
Wie,Jose Abreu(CWS),32,Yordan Alvarez(HOU),47,Ozzie Albies(ATL),33,112,Marcell Ozuna(ATL),26,Javier Baez(DET),18
Zee,Juan Soto(WSH),28,Mike Trout(LAA),41,Shohei Ohtani(LAA),37,106,Trea Turner(LAD),49,Luis Robert(CWS),28
Efran,Teoscar Hernandez(TOR),21,Nick Castellanos(PHI),36,Aaron Judge(NYY),49,106,Jorge Polanco(MIN),33,Jesus Aguilar(MIA),31
Rob,Pete Alonso(NYM),63,Jose Ramirez(CLE),62,Franmil Reyes(CLE),12,137,Jared Walsh(LAA),38,Eloy Jimenez(CWS),7
Kevin,Matt Olson(ATL),31,J.D. Martinez(BOS),28,Joey Gallo(NYY),18,77,Carlos Correa(MIN),21,Max Muncy(LAD),19
