Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI,P5 Name,P5 RBI
Gregg,Manny Machado(SD),88,Nolan Arenado(STL),90,Josh Bell(SD),68,246,Bo Bichette(TOR),83,̶G̶i̶a̶n̶c̶a̶r̶l̶o̶ ̶S̶t̶a̶n̶t̶o̶n(̶N̶Y̶Y),̶6̶4
Randy,Rafael Devers(BOS),73,Xander Bogaerts(BOS),65,Rhys Hoskins(PHI),67,205,Alex Bregman(HOU),78,Matt Chapman(TOR),66
Tom,Vladimir Guerrero(TOR),82,Austin Riley(ATL),89,Kyle Tucker(HOU),88,259,Eugenio Suarez(SEA),79,Tyler O'Neill(STL),57
Chris,Mookie Betts(LAD),74,Freddie Freeman(LAD),86,Paul Goldschmidt(STL),109,269,George Springer(TOR),58,̶B̶r̶y̶c̶e̶ ̶H̶a̶r̶p̶e̶r(̶P̶H̶I),̶5̶2
Brett,Salvador Perez(KC),66,Adam Duvall(ATL),36,Joey Votto(CIN),41,143,Mitch Haniger(SEA),23,Austin Meadows(DET),11
Wie,Jose Abreu(CWS),65,Yordan Alvarez(HOU),82,Marcell Ozuna(ATL),50,197,̶O̶z̶z̶i̶e̶ ̶A̶l̶b̶i̶e̶s(̶A̶T̶L),̶3̶3,Javier Baez(DET),53
Zee,Trea Turner(LAD),91,Luis Robert(CWS),56,Shohei Ohtani(LAA),86,233,̶J̶u̶a̶n̶ ̶S̶o̶t̶o(̶S̶D),̶5̶2,̶M̶i̶k̶e̶ ̶T̶r̶o̶u̶t(̶L̶A̶A),̶6̶4
Efran,Jorge Polanco(MIN),56,Nick Castellanos(PHI),61,Aaron Judge(NYY),119,236,̶T̶e̶o̶s̶c̶a̶r̶ ̶H̶e̶r̶n̶a̶n̶d̶e̶z(̶T̶O̶R),̶6̶4,Jesus Aguilar(BAL),49
Rob,Pete Alonso(NYM),108,Jose Ramirez(CLE),108,Franmil Reyes(CHC),42,258,Jared Walsh(LAA),44,Eloy Jimenez(CWS),39
Kevin,Matt Olson(ATL),90,J.D. Martinez(BOS),51,Carlos Correa(MIN),54,195,̶J̶o̶e̶y̶ ̶G̶a̶l̶l̶o(̶L̶A̶D),̶3̶7,Max Muncy(LAD),57
